class_index,class_name,clean_acc,blur_acc,lowres_acc,grayscale_acc,crop_acc,occlusion_acc,blur_drop,lowres_drop,grayscale_drop,crop_drop,occlusion_drop,local_detail_score,structure_score
55,gingerbread,0.6071428571428571,0.1785714285714285,0.0833333333333333,0.0476190476190476,0.4285714285714285,0.5357142857142857,0.4285714285714286,0.5238095238095238,0.5595238095238095,0.1785714285714286,0.0714285714285714,0.9523809523809524,0.25
56,chiffon_cake,0.6530612244897959,0.1938775510204081,0.0408163265306122,0.010204081632653,0.5714285714285714,0.6428571428571429,0.45918367346938777,0.6122448979591837,0.6428571428571429,0.08163265306122447,0.010204081632652962,1.0714285714285714,0.09183673469387743
57,tempura,0.3209876543209876,0.2098765432098765,0.1234567901234567,0.0,0.3086419753086419,0.3703703703703703,0.11111111111111108,0.19753086419753088,0.3209876543209876,0.012345679012345678,-0.04938271604938271,0.30864197530864196,-0.037037037037037035
58,hot_and_sour_soup,0.5357142857142857,0.5,0.4107142857142857,0.0,0.4107142857142857,0.5357142857142857,0.0357142857142857,0.125,0.5357142857142857,0.125,0.0,0.1607142857142857,0.125
59,boiled_egg,0.7209302325581395,0.7906976744186046,0.7906976744186046,0.313953488372093,0.6627906976744186,0.6511627906976745,-0.06976744186046513,-0.06976744186046513,0.40697674418604646,0.05813953488372092,0.06976744186046502,-0.13953488372093026,0.12790697674418594
60,coffee_cake,0.4897959183673469,0.0816326530612244,0.010204081632653,0.0204081632653061,0.3877551020408163,0.5102040816326531,0.4081632653061225,0.4795918367346939,0.46938775510204084,0.10204081632653061,-0.020408163265306145,0.8877551020408164,0.08163265306122447
61,tenderloin,0.4320987654320987,0.1851851851851851,0.0617283950617283,0.0,0.3333333333333333,0.4567901234567901,0.2469135802469136,0.3703703703703704,0.4320987654320987,0.09876543209876537,-0.024691358024691412,0.617283950617284,0.07407407407407396
62,upside_down_cake,0.7922077922077922,0.4285714285714285,0.4025974025974026,0.0,0.6883116883116883,0.7142857142857143,0.36363636363636376,0.38961038961038963,0.7922077922077922,0.10389610389610393,0.07792207792207795,0.7532467532467534,0.18181818181818188
63,beef_wellington,0.8732394366197183,0.6619718309859155,0.4788732394366197,0.0,0.7746478873239436,0.8591549295774648,0.21126760563380276,0.39436619718309857,0.8732394366197183,0.09859154929577463,0.014084507042253502,0.6056338028169013,0.11267605633802813
64,terrine,0.2873563218390804,0.1264367816091954,0.0689655172413793,0.0,0.2528735632183908,0.2988505747126437,0.160919540229885,0.2183908045977011,0.2873563218390804,0.03448275862068961,-0.011494252873563315,0.3793103448275861,0.022988505747126298
65,kedgeree,0.5666666666666667,0.2833333333333333,0.15,0.0,0.5833333333333334,0.55,0.2833333333333333,0.41666666666666663,0.5666666666666667,-0.01666666666666672,0.016666666666666607,0.7,-1.1102230246251565e-16
66,scrapple,0.3137254901960784,0.0392156862745098,0.0,0.0588235294117647,0.1372549019607843,0.2941176470588235,0.27450980392156865,0.3137254901960784,0.2549019607843137,0.17647058823529413,0.019607843137254943,0.5882352941176471,0.19607843137254907
67,ravioli,0.36,0.2266666666666666,0.16,0.0,0.2933333333333333,0.2133333333333333,0.1333333333333334,0.19999999999999998,0.36,0.06666666666666671,0.1466666666666667,0.33333333333333337,0.2133333333333334
68,cottage_pie,0.7073170731707317,0.6097560975609756,0.2926829268292683,0.0,0.7073170731707317,0.6707317073170732,0.09756097560975607,0.4146341463414634,0.7073170731707317,0.0,0.03658536585365846,0.5121951219512195,0.03658536585365846
69,guacamole,0.7631578947368421,0.6578947368421053,0.1842105263157894,0.0,0.6973684210526315,0.8157894736842105,0.10526315789473684,0.5789473684210528,0.7631578947368421,0.06578947368421062,-0.05263157894736836,0.6842105263157896,0.013157894736842257
70,huitre,0.4571428571428571,0.1523809523809524,0.0857142857142857,0.2285714285714285,0.3047619047619048,0.4380952380952381,0.3047619047619047,0.3714285714285714,0.22857142857142856,0.15238095238095228,0.01904761904761898,0.676190476190476,0.17142857142857126
71,torte,0.391304347826087,0.0108695652173913,0.0217391304347826,0.0869565217391304,0.2065217391304347,0.4021739130434782,0.3804347826086957,0.3695652173913044,0.30434782608695654,0.18478260869565227,-0.010869565217391242,0.75,0.17391304347826103
72,filet_mignon,0.4683544303797468,0.0632911392405063,0.0253164556962025,0.0,0.2531645569620253,0.430379746835443,0.40506329113924044,0.4430379746835443,0.4683544303797468,0.2151898734177215,0.03797468354430378,0.8481012658227847,0.2531645569620253
73,crumb_cake,0.7040816326530612,0.1224489795918367,0.0408163265306122,0.0510204081632653,0.6020408163265306,0.5918367346938775,0.5816326530612246,0.663265306122449,0.653061224489796,0.10204081632653061,0.11224489795918369,1.2448979591836737,0.2142857142857143
74,jerky,0.6571428571428571,0.0714285714285714,0.0285714285714285,0.1714285714285714,0.4,0.6571428571428571,0.5857142857142857,0.6285714285714287,0.48571428571428577,0.2571428571428571,0.0,1.2142857142857144,0.2571428571428571
75,tamale_pie,0.5333333333333333,0.3333333333333333,0.2333333333333333,0.0,0.4666666666666667,0.4833333333333333,0.2,0.30000000000000004,0.5333333333333333,0.06666666666666665,0.050000000000000044,0.5,0.1166666666666667
76,applesauce,0.5584415584415584,0.4545454545454545,0.3896103896103896,0.0,0.4155844155844156,0.4415584415584415,0.10389610389610393,0.16883116883116883,0.5584415584415584,0.1428571428571428,0.11688311688311692,0.27272727272727276,0.2597402597402597
77,pho,0.6181818181818182,0.1272727272727272,0.0363636363636363,0.0,0.3818181818181818,0.6181818181818182,0.49090909090909096,0.5818181818181819,0.6181818181818182,0.2363636363636364,0.0,1.0727272727272728,0.2363636363636364
78,fried_rice,0.6428571428571429,0.0,0.0,0.0,0.3333333333333333,0.5952380952380952,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.3095238095238096,0.04761904761904767,1.2857142857142858,0.35714285714285726
79,savarin,0.2972972972972973,0.2567567567567567,0.1891891891891892,0.3513513513513513,0.1891891891891892,0.2432432432432432,0.040540540540540626,0.10810810810810811,-0.054054054054054,0.10810810810810811,0.05405405405405411,0.14864864864864874,0.16216216216216223
